Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Bolivia,2.688,241.34619141,3.4,171.57260293,67.03740544,3690.0,75.0,75.0,75.0,79.0,75.0,106.0,6859259.0,-3000.0,57.9028079,92.5659538959925,63.8163098248026,1.37206798819615,12413315.0,62.26,28.3,3532209.0,1.042,4.1,10.0,83.0,3.091,1.87511109176737,8881106.0
Tajikistan,3.281,60.51568222,8.0,16.53003157,43.18630668,1650.0,97.0,97.0,97.0,98.0,97.0,83.0,2780399.0,-21236.0,43.10108868,81.8151109661329,96.7725602586229,1.91732317936133,10590927.0,56.24,46.8,7570077.0,1.062,0.87,7.9,91.0,11.635,2.93569986153294,3020850.0
Viet Nam,1.943,171.15296936,3.4,69.52231544,99.95200594,4490.0,89.0,89.0,89.0,95.0,89.0,176.0,57133476.0,-59645.0,77.21960397,95.9890536474813,86.6378024979776,0.631267006487247,100987686.0,15.41,29.7,60395686.0,1.115,9.34,9.8,91.0,1.431,2.42610658649119,40592000.0
"Congo, Rep.",4.38,58.42106628,8.1,25.61217073,28.71329844,2410.0,79.0,79.0,79.0,73.0,78.0,373.0,2563444.0,-2491.0,24.63735248,73.5958698078761,20.3642631107744,2.39829082784283,6332961.0,23.78,39.8,1922814.0,1.025,6.4,52.0,72.0,19.694,3.04658907824074,4410147.0
El Salvador,1.838,380.53384399,12.7,203.68691397,176.83615284,5120.0,96.0,96.0,96.0,96.0,97.0,60.0,2890348.0,-23102.0,143.35118291,97.8203480942147,86.8216058122908,0.451762522948611,6338193.0,64.98,32.7,1521420.0,1.048,3.28,0.97,90.0,2.839,1.24838310782066,4816773.0
Ecuador,2.035,484.47195435,4.9,303.70302597,180.51130007,6430.0,85.0,85.0,85.0,83.0,85.0,46.0,8820523.0,-19704.0,149.87703447,95.0112246263964,90.0032406646583,0.860548498593581,18135478.0,64.66,27.2,6342158.0,1.046,3.26,3.3,80.0,4.773,1.22567036413318,11793320.0
Vanuatu,3.79,112.13746643,19.7,61.07442332,11.74514181,3940.0,90.0,90.0,90.0,80.0,90.0,41.0,118094.0,-43.0,8.58725213,90.0654259004521,48.3408689974498,2.27351944261437,327777.0,50.36,39.5,242073.0,1.07,1.87,5.4,85.0,5.064,2.93036541729069,85704.0
Zambia,4.418,85.02349854,10.3,28.43190593,7.2883115,1260.0,88.0,88.0,88.0,93.0,89.0,333.0,7407019.0,7381.0,6.16622984,66.8533983785744,35.4594671468657,2.81182258530958,21314956.0,27.29,32.3,11315258.0,1.011,3.85,33.0,89.0,5.961,4.05367224310943,9999698.0
Suriname,2.347,599.07025146,13.8,427.99640383,167.53968403,5870.0,77.0,77.0,77.0,64.0,76.0,29.0,255453.0,-1166.0,99.40589733,97.5417735351336,89.2491425915073,0.877853398525397,634431.0,56.4,42.9,212325.0,1.042,6.63,2.3,79.0,7.325,1.0615100478793,422106.0
"Gambia, The",4.33,23.21861267,5.5,9.50421633,7.39377799,890.0,88.0,88.0,88.0,85.0,88.0,158.0,783147.0,-2989.0,4.71310516,83.8990207770481,47.2014093324921,2.27730257212036,2759988.0,37.51,37.6,963788.0,1.032,1.11,19.0,84.0,6.496,3.21589674058409,1796200.0
Kyrgyz Republic,3.3,61.39657974,7.6,31.57121039,28.39916028,2150.0,95.0,95.0,94.0,96.0,96.0,110.0,3197379.0,3645.0,28.35381771,89.8588080901834,97.7777140188615,1.74342348060281,7224614.0,56.08,40.9,4467268.0,1.057,4.95,4.4,81.0,3.289,2.70438647972752,2757346.0
Qatar,1.731,2007.51525879,24.6,1715.94417918,291.57116353,76720.0,98.0,98.0,98.0,99.0,99.0,35.0,2122959.0,46105.0,128.28628838,99.9705334233432,99.9365458669077,7.32265165181291,2857822.0,75.73,40.9,17518.0,1.037,1.15,0.28,73.0,0.126,7.35587776747717,2840304.0
"Korea, Dem. People's Rep.",1.825,,9.9,,,,97.0,97.0,97.0,98.0,98.0,513.0,17637357.0,-2473.0,,93.8236859124211,84.6194906759029,0.304699893187806,26498823.0,33.92,26.5,9671275.0,1.06,4.29,,84.0,2.859,0.77824333955038,16827548.0
Estonia,1.66,1599.3503418,6.9,1189.42264281,409.59566706,28700.0,91.0,91.0,91.0,88.0,91.0,13.0,756167.0,-7742.0,382.63787842,99.9872873090016,99.0771583771511,0.123984799303149,1371986.0,56.15,40.2,411335.0,1.061,11.26,1.2,76.0,7.828,0.422898450478426,960651.0
Central African Republic,6.09,35.76098633,7.6,3.77337779,22.01101844,520.0,42.0,42.0,42.0,41.0,46.0,540.0,2000171.0,-15357.0,21.65622811,38.2122671248287,14.4819824288711,3.40139844069992,5330690.0,21.83,41.3,2978257.0,1.032,1.99,98.0,81.0,5.899,4.5775349935302,2352433.0
Liberia,4.257,51.1932373,9.2,8.28228745,30.28153908,760.0,70.0,70.0,70.0,68.0,69.0,308.0,2606936.0,-7779.0,27.9892619,74.1609602963714,20.7619736101479,2.15725346515291,5612817.0,34.95,39.4,2577574.0,1.039,3.64,56.0,75.0,2.882,3.10482398442784,3035243.0
Cameroon,4.651,56.79493713,6.9,6.32829881,43.05654015,1680.0,67.0,67.0,67.0,61.0,68.0,179.0,11118837.0,-13892.0,40.99957399,67.9904842171552,42.4008580058119,2.61268294319567,29123744.0,38.07,36.8,11680951.0,1.031,10.1,29.0,86.0,3.518,3.58075760279752,17442793.0
"Korea, Rep.",0.918,2592.47851563,9.6,1499.2304191,1093.24826746,33830.0,98.0,98.0,98.0,98.0,98.0,58.0,29713473.0,75963.0,844.57745306,99.7657984771461,99.8540106204028,0.0743178674548815,51751065.0,34.25,26.7,9574982.0,1.056,8.19,3.7,83.0,2.604,0.125866108163057,42176083.0
St. Kitts and Nevis,1.568,1223.83544922,13.8,602.80614148,621.02930425,22310.0,97.0,97.0,97.0,97.0,97.0,4.9,,-7.0,567.46761217,,,0.181622041143753,46843.0,73.96,45.1,32218.0,1.037,6.34,1.9,100.0,,0.582892101254693,14625.0
